sentiment,message,tweetid
-1,Sally Kohn’s latest evidence of climate change proves she is ‘not a smart person’ https://t.co/MhkzoGL9Vt via @twitchyteam Need we say more,355491
-1,@realDonaldTrump Carbon Tax is a Globalist idea to enslave the world's population. It is the whole reason for propagating global warming!,61141
-1,"RT @SteveSGoddard: We had winds close to 100 MPH in the area this afternoon. I would blame climate change, except that this happens pr… ",719523
-1,@MissLizzyNJ lmao 😂 snowflakes ❄️ complaining about snowflakes ❄️ in winter =global warming 🤦‍♂️,911385
-1,"RT @Dawn2334Dawn: This is ONE of Arnold Schwarzenegger's vehicles. He is now whining about climate change.
How's his maid...illegal or
http…",768263
-1,RT @Fruitloopian: Why is there snow in March if we have global warming?,798585
-1,"can someone pls explain to me why it's -37 in march,,,, global warming who??",337974
-1,Explain that my global warming advocates. https://t.co/WpKndebunw,472265
-1,@TomiLahren kinda funny the professors talk shit trumpsters=omg f them. scientist 'climate change' trumpserst= idots. Kinda shows his base🤔,740194
-1,"RT @signordal: New global warming study is terrible news for alarmists, good news for plants, animals an...https://t.co/KgJxLvfs7A https://…",473664
-1,"@CBSNews You're not going to get away with this, we are going to call you out every single time. All pages are gone inc. fake climate change",621536
-1,RT @CharlieDaniels: I'm not worried about global warming but I'm terrified about global government.,565424
-1,global warming is a hoax perpetrated by the chinese.,4935
-1,"RT @Carbongate: Physicist - CO2 does not cause climate change, it RESPONDS to it - Video https://t.co/lySZb7gClh",809373
-1,"Agreed! Man-made climate change is a man-made hoax, innit? https://t.co/4nbiKg6tdz",245892
-1,RT @tamorley: @ZekeJMiller But why a carbon tax? Isn't all that climate change stuff is hokum?,453052
-1,"RT @Mike_Beacham: Fed scientist cooked climate change books ahead of Obama presentation 
#NoMoreSCAMS
#NoMoreDEMOCRATS
#DrainTheSwamp 
http…",687404
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by 2008 due to climate change are concerned about 'fakeÃ¢â‚¬Â¦,479445
-1,@zrastall17 climate change is #fakenews,3014
-1,RT @MR_BREXIT: Good news that @realDonaldTrump is looking to ditch the Paris agreement and bust open the climate change #myth #maga #stepfoÃ¢â‚¬Â¦,242418
-1,I was thinking the same thing. Same goes with climate change when there are other important issues that effect Amer… https://t.co/Hh1DoTQkhS,301923
-1,RT @Uniocracy: They'll tell you theyre doing it to save you from global warming. Theyre lying https://t.co/PRFpiM7pyj #OpChemtrails,529327
-1,RT @newsfakenews: TODD STARNES: Hey NPR — Take your global warming nonsense about kids and blow it out your F-150 tailpipe https://t.co/c4V…,120315
-1,@NobamaDotCom @LibbyRafferty @BIZPACReview Funny how the left scream their allegiance to 'science' on global warming but not this issue.,49204
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by 2008 due to climate change are concerned about 'fakeÃ¢â‚¬Â¦,376353
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,950779
-1,Natural climate change wins man-made climate change 10 - 0!! https://t.co/A1aP0wIv1Q https://t.co/A1aP0wIv1Q,716256
-1,"RT @HarmlessYardDog: 21 kids aged 9 to 20 are suing the Trump over climate change ������

&gt;Leftist are a Disease https://t.co/gdfHOUiK1E",684619
-1,Selling global warming as scientific vs government's control of everything by terrifying the public. #earthday… https://t.co/aZUv4iMtcv,126568
-1,@sallykohn They're related when part of a larger pattern of change. But that doesn't prove manmade climate change. Q is much do we affect?,802130
-1,RT @RandomSavage3: @FrMatthewLC Crazy how two days ago people were going bezerk about 'global warming' then a blizzard hits,44071
-1,RT @katieworth: My story on the campaign to persuade every science teacher in the U.S that climate change is debatable @frontlinepbs https:…,334243
-1,"Isn't climate change just evolution for the planet? If so, why get upset about it. Or try to stop it. Who are we to make that call?",285583
-1,RT @AlbertStienstra: @ClimateRealists The almost 100% Democrat vote of the very young is caused by climate change scaremongering and indoctÃ¢â‚¬Â¦,917376
-1,"@Revkin1.  I got your point, it is still stupid. It is absurd to make every tornado, hurricane etc result of man made climate change.",133423
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by 2008 due to climate change are concerned about 'fakeÃ¢â‚¬Â¦,782321
-1,"RT @DanielJHannan: People who accept 'the scientific consensus' on climate change often dismiss 'the scientific consensus' on, say, frackin…",427300
-1,RT @TuckerCarlson: Forget about its poverty or exploding crime rate... the mayor of New Orleans is making climate change a top priorit…,342566
